prefix,cluster_id,env_proto,best_action,best_q_value
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Breast Examination', 'Urine Test', 'Post-bronchodilator Spirometry')",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.444, 0.0, 0.667, 1.0, 0.222, 0.0, 0.444, 0.667, 0.0, 0.0, 0.444]",Blood Test,0.9211539118450741
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Cardiac Ultrasound')",0,"[0.0, 0.0, 0.0, 0.0, 0.222, 0.333, 0.333, 0.333, 0.0, 0.333, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.667, 0.667, 0.0, 0.222]",Urine Test,1.664301320160345
"('Registration', 'Payment', 'Get Triage Number')",0,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.667, 0.0, 0.0, 0.0]",Measure Vital Signs,2.882072295640437
"('Registration', 'Payment', 'Get Triage Number')",1,"[0.167, 0.067, 0.013, 0.183, 0.466, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.067, 0.0, 0.0, 0.0, 1.0, 0.0, 0.2]",Measure Vital Signs,0.9116815324512212
"('Registration', 'Payment', 'Get Triage Number')",2,"[0.0, 0.0, 0.0, 0.111, 0.389, 0.333, 0.333, 0.125, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.028, 0.444, 0.444, 0.667, 0.667, 0.0, 0.055]",Measure Vital Signs,3.1333067157463335
"('Registration', 'Payment', 'Get Triage Number')",3,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.221, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.0, 0.444, 0.667, 0.667, 0.0, 0.0]",Measure Vital Signs,2.5418667513349016
"('Registration', 'Payment', 'Get Triage Number')",4,"[0.0, 0.0, 0.0, 0.111, 0.259, 0.333, 0.333, 0.0, 0.111, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.444, 0.667, 0.667, 0.0, 0.185]",Measure Vital Signs,1.8750581817281513
"('Registration', 'Payment', 'Get Triage Number')",5,"[0.111, 0.044, 0.0, 0.111, 0.334, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.444, 0.0, 1.0, 0.222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11]",Measure Vital Signs,1.7273346672630245
"('Registration', 'Payment', 'Get Triage Number')",6,"[0.017, 0.007, 0.0, 0.128, 0.444, 0.026, 0.333, 0.154, 0.0, 0.23, 0.0, 0.444, 0.667, 1.0, 0.068, 0.0, 0.0, 0.667, 0.667, 0.0, 0.0]",Measure Vital Signs,1.6817624061871517
"('Registration', 'Payment', 'Get Triage Number')",7,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.444, 0.0, 0.667, 1.0, 0.0, 0.444, 0.111, 0.667, 0.667, 0.0, 0.0]",Measure Vital Signs,1.7729477866380385
